imports,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Guinea-Bissau,0.0410013,0.0750019,0.1800022,0.1269997,0.1110012,0.4469508,0.1930008,0.1959993,0.433316,0.65,0.433316,0,0,0,0,0,1,0,1,1,1,1,1,1,1,2,2,7,7
Holy See,2.7470009,3.4550005,3.3569997,2.5120006,2.0859997,1.7160018,1.4009994,1.5910006,1.5100001,1.5289997,1.3560001,0.873,1.6099997,1.0820001,1.073,0.9320001,0.8029945,0.4959999,0.303,0.28,0.314,0.253,0,0,0,0,0,0,0
Iceland,37.6739997,41.9850067,42.9520085,43.1040023,38.8859989,39.5109964,42.2450045,38.1020032,44.0940068,40.6880022,43.5580008,39.9500027,43.2640021,43.5810024,44.5400009,48.6907917,44.6428701,47.7870572,44.0842441,47.2911679,44.8709134,42.0211058,45,46,47,50,54,52,51
"Iran, Islamic Rep. of",3.5480004,5.1080018,2.3149989,5.4289995,0.9179993,0.1970015,0.0100003,0.4539998,2.1100002,2.0599994,2.526184,7,4,13,33,43,61,36,70,67,146,137,156,108,82,102,161,208,245
Iraq,8.3330004,0.1940016,0,0.3,0.3,0.7580002,1.3459975,2.3460017,0.468,3.346998,1.4479998,9,5,7,10,9,6,17,24,14,11,20,22,53,37,33,53,176,224
Israel,272.7,340.5669946,453.3539906,468.9789837,478.5099863,449.9669884,461.0079862,462.4589848,522.8549808,451.9849895,357.0349954,430,394,431,461,505,593,587,593,514,657,648,662,639,592,620,599,719,734
Japan,5330,5510,5326,5691,6217,5489,5994,5921,6027,6547,6908,6996,7307,6923,7254,7408,7632,7086,7060,7090,7407,7544,7025,8381,7657,8063,8026,7647,7539.981823
Jordan,50.8230041,63.7659956,106.0810019,47.1430086,46.9930034,78.0450094,81.2460006,94.7769992,128.2320059,118.7410041,174.1630003,159,204,162,222,159,189,232,257,336,356,326,405,550,566,564,636,673,816
Kazakhstan,0,0,0.649999,4.3329998,9.100001,10.975004,3.0070006,2.7650009,21.200009,10.456008,18.5999996,33,35,57,66,66,112,164,151,184,158,133,132,138,131,128,145,182,206
Kiribati,0.1289988,0.1983254,0.1280004,0.1983254,0.1983254,0.1983254,0.3649854,0.1983254,0.1983254,0.5316654,0.6983254,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2,2
"Korea, Dem. People's Rep. of",0.1420014,0.2880014,0.2340024,1.5468057,0.6350016,1.7610014,0.7859998,0.18,0.4259637,0.7958076,24.5699998,29,27,8,27,20,9,26,3,4,16,20,7,15,44,47,20,27,41
"Korea, Rep. of",895.734003,864.9250083,1003.551003,1079.276,1184.876996,1102.772004,996.9010099,1178.655,1071.155004,1138.365004,1316.387996,1331,1412,1403,1501,1537,1572,1587,1845,1799,2011,2346,2106,2141,2419,2518,2780,2893,2899
Kuwait,20.6970007,18.549001,44.8670032,33.6230011,32.9030009,40.3770029,45.6200003,38.0890021,51.0719998,55.986,52.0489993,77,87,73,73,90,60,62,75,72,72,83,101,96,156,164,222,209,262
Kyrgyz Republic,0,0,2.0000004,0.6159996,0.294,0.1869996,0.06666,1.6,5.4531508,1.79584,0.1165508,0,1,3,5,6,7,7,8,14,17,21,19,17,20,21,40,22,19
Lebanon,166.6670004,266.667,350.0000004,249.9999996,216.6669996,300,300,255.2699999,305.9840711,282.7671768,275.0188784,425,323,315,415,357,316,436,397,422,461,432,451,647,612,646,639,620,643
Lesotho,8,7,11,21.66666,20.0000004,9.9999996,3.5,3.66666,4.16666,3.33334,2.5,2,2,5,3,1,1,1,1,2,3,5,6,1,4,4,4,11,7
Libya,118.6329996,128.7889997,132.0850012,98.537,44.2799992,57.7509988,22.3230002,11.5340014,40.7929968,77.9969981,19.6220002,47,64,22,68,42,37,36,66,72,163,63,191,235,197,214,175,212,281
Malaysia,178.9350063,201.0790008,214.1550008,211.7000013,231.1640038,313.9350118,407.2170132,415.8820052,304.5390081,393.12601,510.3249853,630,668,546,761,509,768,970,1014,868,1244,1587,1742,1957,1823,1844,1948,2044,2324
Mali,14.3075095,13.8616746,14.591684,15.761684,15.761684,16.1583586,12.1869574,13.4479885,18.6993643,13.0070159,19.0609789,21,30,41,18,18,15,34,31,32,68,50,24,30,24,47,55,49,87
Mauritania,0.1729987,0.4700053,0.6169979,0.560003,0.6420021,0.0052162,0.062594,0.2890602,3.3498743,0.101625,0.3907265,10,9,9,13,12,4,2,4,5,4,5,5,10,7,12,13,16,100
Mauritius,0.9159998,0.7900004,0.8840028,1.5480002,1.779999,1.4460026,1.369002,1.6560041,2.440004,3.1700021,5.6909997,3,10,14,6,7,8,7,7,10,6,13,12,18,14,11,17,28,28
"Micronesia, Fed. States of",0,0,0,0,0,1.171,0.0540001,1.300982,0.2310004,1.1689995,1.2443233,3,4,3,3,3,4,4,6,9,4,4,5,6,5,5,4,2,3
Moldova,0,0,5.4850008,0.8000004,0.8010014,1.6609988,2.8520041,5.2690029,4.4649959,2.569002,3.2479994,13.7779985,12.9799983,22.8959974,8.3149281,11.3264055,15.835838,25.0115265,27.0255414,27.7135068,34.6341126,38.5377849,40,39,45,40,51,52,61
Mongolia,0.2889994,0,0.1710012,0.0600019,0.9010005,0.8740006,2.284351,1.4308474,3.0887698,1.4908879,1.3345723,5,14,5,9,11,12,8,10,9,11,16,14,22,24,26,27,32,33
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.4219277,150.3104695,144.6921443,206.2143197,218.9839913,146.7135536,75,83,65,65,59,59,59
Montserrat,0.063002,0.0989988,0.0969996,0.1130005,0.0990021,0.0999996,0.0500004,0,0,0.1340036,0.051,0.0459996,0.063,0.0369996,0.0529992,0.038703,0.0550953,0.0330538,0.0328429,0.0303125,0.0298417,0.0653125,0,0,0,0,0,0,0
Morocco,359.5060014,334.7379942,384.3160013,343.3469964,365.2859953,334.9830002,376.8760029,451.9109993,459.9870037,444.028005,586.4619995,566,629,556,509,494,557,602,543,670,582,573,738,721,630,662,680,706,917
Mozambique,0.1983254,0.595,0.1983254,0.1983254,0.3966746,0.595,0.7933254,1.3883493,1.1900001,2.1816747,5.206481,0,1,0,2,2,2,4,6,4,4,6,3,7,11,8,13,16,7
Myanmar,0.0149997,0.1639996,1.0870008,0.0299988,1.2850017,2.1350011,0.8769974,0.054001,0.0260002,0.0220022,0.0220001,57,55,62,82,64,83,109,159,195,315,257,353,189,202,210,172,391,362
Namibia,0,0.595,0.595,0.1983254,0.1983254,0.7933254,1.8250146,38.6838497,29.1457136,18.858171,21.241124,17,16,20,41,36,36,22,22,58,50,47,26,31,38,53,30,43,24
Netherlands Antilles,6.6800019,8.2540023,7.3470006,9.0700046,10.2899994,8.4690027,4.2940003,6.9989993,15.4939987,15.1260034,3.7329996,3.9999996,4.1000004,2.7570001,2.7429996,6.11668,10.08336,6.76666,8.2,8.9028252,6.2063441,5.0205091,5,7,6,6,6,6,6
New Zealand,134.0079984,127.1249967,135.163997,150.2879962,147.4769983,149.4689949,156.5559969,162.9329998,190.3179975,170.6849912,189.5969898,197,205,222,236,243,260,259,262,282,280,271,286,323,329,359,348,376,405
Niger,2.2880018,1.0920068,0.7930012,8.9130004,6.0060009,8.6130023,5.4870039,10.2000059,11.1220061,7.1060046,9.4089984,11,17,10,13,11,21,29,26,28,13,19,18,24,24,25,12,11,9
North America,2253.478009,2356.146011,2271.012016,2488.917017,2827.129984,2509.892992,2763.455994,2863.888989,3410.340996,3315.161004,3321.066997,3376.947983,3199.324965,2984.94679,3508.854447,3588.623495,3809.037208,3902.241761,3805.383994,3896.478076,4365.799131,4542.108753,4444,4520,4981,4698,4873,5098,5114
North Macedonia,0,0,78.7580003,51.2620063,63.2880027,69.8450062,51.3920011,53.162001,77.0770019,62.4190011,36.6669987,90.1150011,107.9999997,126.4230651,130.5322374,135.9624765,132.2118306,144.501289,136.4016004,146.261304,133.4233391,135.3829597,148,156,145,147,153,151,159
Norway,742,761,739,693,806,662,720,684,707,790,662,716,698,691,716,753,731,780,722,724,759,795,735,781,743,800,799,801,743.340422
Oman,35.6480023,52.260008,59.2850041,34.4100069,39.7990011,55.06,41.2490014,46.2990026,57.2120025,56.2890042,74.9879996,60,45,64,60,58,55,61,67,69,55,74,88,115,115,102,99,69,166
Pakistan,3.3219991,1.6520042,5.1760019,1.2359992,1.020004,4.1510008,5.2920014,1.3860021,0.5100007,1.5379989,2.079001,3,2,6,9,8,8,8,11,10,10,8,5,17,18,13,12,26,23
Puerto Rico,8.8190035,25.5600008,14.1050011,14.9120012,19.9030035,6.7810013,16.4189997,10.8300032,98.8410024,168.0350052,134.0870039,72.0710014,112.7920021,78.7589997,100.2305515,114.4884101,54.7630884,51.5530057,105.2940612,158.084521,164.0530813,122.0709535,177,166,199,191,185,115,122
Qatar,5.1780037,10.5820021,10.6650049,4.7230073,6.7310031,16.1510007,13.2840001,12.1169969,10.6440017,21.2300082,15.2089992,19,20,24,21,32,23,32,45,54,58,42,49,46,44,55,75,95,65
Russian Federation,,,1382,1795,1726,1728,1128,2185,1732,1368,1890,3057,3504,3772,3205,3336,3465,4318,4053,3553,4155,4218,4175,4410,4747,4710,5233,5468,5287.541562
Saint Kitts and Nevis,0.433316,1.3,1.3,0.433316,0.433316,0.433316,0.433316,0.433316,0.3566187,0.1519854,0.2886299,0.3749789,0.3522142,0.502806,0.297383,0.1911612,0.2182407,0.214333,0.5373207,0.6602858,0.3869535,0.4367677,1,1,0,0,0,1,0
Saint Lucia,1.9660022,3.0570024,1.5299996,1.793,2.1440061,1.6300043,2.2800008,2.7740106,2.9650047,2.3730004,2.3709998,2.9969997,1.2934567,2.417987,3.4948735,2.3321575,1.8849007,2.260327,2.0357119,1.3734334,1.7974856,0.9653271,3,2,2,2,2,3,1
Saint Vincent & the Grenadines,0.0650011,0.3050067,0.763,0.6370011,0.3660013,0.6539985,0.5380039,0.6180013,0.942001,0.804,0.9359991,0.972,1.3149991,1.0909999,0.4981325,0.307278,0.3403977,0.5650007,0.6849798,0.3100591,0.3496033,0.2423852,0,0,1,1,1,0,1
Samoa,1.0400021,0.3924906,0.4721654,0.6864854,0.102816,0.0793254,0.6330146,0.043316,0.1163306,0.13,0.0798014,0,0,0,0,0,0,0,3,3,5,4,7,9,12,14,16,14,20
Sao Tome and Principe,0,0.0019992,0.0050006,0.0189995,0.0100015,0.0070001,0.0380001,0.0150016,0.0100017,0.0419995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,275.0530106,343.1240019,231.8720041,144.2319991,106.9359991,290.5890066,281.1200026,214.7260014,343.9040019,364.853011,412.7469918,389,454,474,566,596,644,758,831,854,955,1030,1215,1332,1383,1684,1371,1532,1246
Senegal,63.1690032,53.4719995,54.8610057,34.446004,10.1100012,20.194948,11.1859983,26.7929479,33.1244484,35.9620902,33.7099962,39,41,57,35,46,50,44,40,54,33,43,41,50,58,84,157,161,153
Serbia,0,0,482.7580043,0,0,0,179.7740006,307.4090017,466.8200045,451.2000051,644.1300013,672.4359983,747.3009982,772.8429998,859.9020841,653.1156035,613.1361182,619.835134,690.0643937,577.5527516,555.9935159,585.0792926,605,580,594,511,611,576,550
Seychelles,0.4190006,0.3169989,0.6989996,0.7650014,0.8330042,0.8930014,0.7490043,1.0670015,0.4969151,0.6976436,1.0063016,0,1,1,1,1,1,1,10,9,13,2,1,1,2,4,4,4,4
Singapore,1214.441999,1099.472,1552.274999,1614.575,1770.216998,1041.061,862.1190006,1100.197,697.9910021,869.6700021,944.1509265,1052,1119,991,1393,1264,1015,879,767,582,624,644,761,681,767,874,681,699,807
Solomon Islands,0.3400008,0.2779995,0.16666,0.16666,0.16666,0.16666,0.16666,2.41666,2.1,2.1,2.1,0,1,0,3,4,8,11,11,10,10,5,10,2,7,10,3,2,1
Somalia,8.0000004,0.0310003,0.2709993,0.1449984,0.0519996,0.2800006,0,0.0090012,0,0.444,0.346684,0,2,1,1,4,2,1,2,0,0,1,2,2,0,2,1,1,2
"South Africa, Rep.of",286.4969987,281.8810006,337.6010044,402.9320041,344.6450075,324.1200035,327.9540001,322.9799995,351.4170243,333.8993778,412.7790371,337,370,402,436,477,567,465,574,417,593,573,542,546,635,693,644,712,756
South America,668.199002,748.6149977,950.163006,872.0280009,843.5800065,877.3310117,1009.530012,1019.85101,899.8290072,878.4270045,928.9939833,984.4599678,818.3959801,946.3282551,911.3376052,929.2465178,911.8218769,1007.948519,963.1795816,867.0111984,1090.079133,976.4843516,1099,1202,986,1056,946,1070,1061
Sudan,55.5010008,130.3019974,103.3329996,69.7670004,71.967,80.3330004,106.617,100.3473587,135.7161524,160.590493,128.5101334,178,224,119,390,399,363,501,579,565,660,572,412,796,690,594,641,305,705
Suriname,1.9370001,7.0019999,2.9280037,3.7080012,3.4590034,8.0550023,7.6900016,10.143003,11.1769982,6.6520009,12.1329984,10.8169986,8.9079997,9.8401356,17.3123973,13.5001534,14.3289602,14.4321587,17.0478195,16.6537479,16.2051029,15.900255,15,19,18,16,15,10,14
Switzerland,1171,1130,1101,1060,1099,1017,1112,971,1112,1139,1171,1255,1217,1322,1236,1641,1503,1823,1978,2101,2318,2498,2478,2667,2643,2748,2816,2904,3086.018913
Syrian Arab Republic,26.25,166.0760004,180.8340005,228.9680035,185.3840004,200.0400011,218.5669981,209.490007,268.2409994,276.7880018,221.3109974,641,450,208,344,408,266,594,347,725,501,605,478,437,463,423,403,460,460
Taiwan,146.0630029,183.8690002,173.4719962,156.7210035,212.8770111,166.4309969,209.5160051,253.9440112,268.2190023,318.0869979,402.1509605,443,478,491,361,325,295,358,319,360,453,470,476,557,583,667,698,851,789
Tonga,0.1449986,0.2500008,0.2220031,0.3019987,0.4160021,0.1950014,0.428004,0.2310031,0.3210007,0.3650023,0.8373201,1,1,1,0,1,1,3,1,2,2,2,2,2,1,1,1,1,1
Tunisia,101,90,111,101,137,137,144,165,147,186,192,233,236,123,264,190,209,253,318,289,304,429,439,439,460,459,466,546,532.966563
Turkey,140.3720053,164.5920074,171.2720018,219.6220065,142.3920007,201.0129989,251.8499992,252.9830082,295.810002,268.0270088,291.637228,294,363,372,411,472,509,530,500,534,625,656,723,842,987,1249,1192,1474,1464
Ukraine,0,0,23.4,13.866684,83.259976,185.190024,269.20666,170.653344,135.6896851,265.9600028,184.235317,232.756316,443.282262,650.7510258,744.2672641,1032.530688,988.9466514,1084.621251,1828.960633,1541.071974,1588.246825,1371.741136,1294,1403,1291,1155,1184,1147,1338
United Arab Emirates,79.2689997,93.7570008,116.5480052,102.9150026,93.7030148,114.9690083,137.796001,124.8539961,174.6530117,160.4130138,189.2080206,246.8269935,241.2719898,224.7929765,299.0169901,356.7207345,317.6859632,324.1408718,319.9347069,345.3927122,296.1447724,349.9362792,369,468,463,530,606,845,1118
Uruguay,42.2610009,30.1909979,45.5440012,32.3130007,39.978,38.922004,42.0590019,41.9780028,47.8290021,45.0900025,42.7119979,57.0769955,41.3259975,47.8491404,50.6237407,53.2159948,48.4316574,58.4523549,54.8531886,55.8186765,61.6932503,63.0861478,60,60,59,60,55,56,57
USA,21007,19840,22939,19329,16171,17107,19445,20343,21030,22746,23767,21415,21639,22760,23184,23042,23709,24219,24277,23578,24378,26093,26056,27016,27565,27708,28838,29487.88646,28918.20706
USSR,2099.183011,1086.817005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,0.4109974,0.2690028,0.5780011,0.3520033,0.4540018,0.3179994,0.4170006,0.5297723,0.2105663,0.2914403,0.9195149,0.3942921,0.4189446,1.9189997,0.3579997,0.9888965,0.385505,1.3357493,1.2717905,0.8057419,1.5675066,1.5580063,1,2,2,1,2,4,6
Virgin Islands (UK),0.0409999,0.0210026,0,0.0300021,0.0019992,0.0120007,0.0480013,0.0410011,1.9630034,0.0170023,1.0349998,0.9340083,0,0.0079928,0.0219952,0.0149742,0.0180087,0.3800004,0.006,0.53898,2.7499939,0.2329943,0,0,0,0,0,0,0
Yugoslavia,1033.507,638.3750027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
